# Atomic data from Jitrik & Bunge (2004)
# Damping constants calculated by J.-K. Krogager
# Generated:  2021-07-21 22:19:15.558941
# --------------------------------------------------------------------
# line-ID        ion         wl_cen     f_ij        gamma      mass
#                            Angstrom               s^-1       m_u
# --------------------------------------------------------------------
CuI_1141.0       CuI        1140.9859  1.18e-02  3.162e+07  62.930
CuI_1140.99      CuI        1140.9859  1.49e-03  9.120e+06  62.930
CuI_1140.986     CuI        1140.9859  1.55e-04  3.311e+06  62.930
FeII_1142        FeII       1142.3657  4.01e-03  5.012e+08  55.847
CuI_1143         CuI        1143.1591  9.75e-02  2.570e+08  62.930
CuI_1143.2       CuI        1143.1591  9.06e-02  4.786e+08  62.930
CuI_1143.16      CuI        1143.1591  6.70e-03  2.188e+07  62.930
FeII_1143        FeII       1143.2257  1.92e-02  5.623e+08  55.847
CuI_1143.6       CuI        1143.6369  5.42e-02  1.445e+08  62.930
CuI_1143.64      CuI        1143.6369  6.32e-03  3.467e+07  62.930
CuI_1143.637     CuI        1143.6369  7.33e-04  5.012e+06  62.930
FeII_1144        FeII       1144.9392  1.12e-01  6.026e+08  55.847
CuI_1146         CuI        1146.5740  3.00e-02  7.762e+07  62.930
CuI_1146.6       CuI        1146.5740  2.69e-02  1.413e+08  62.930
CuI_1146.57      CuI        1146.5740  2.01e-03  6.607e+06  62.930
CuI_1147         CuI        1147.2100  8.79e-02  2.291e+08  62.930
CuI_1147.2       CuI        1147.2100  1.85e-02  1.000e+08  62.930
CuI_1147.21      CuI        1147.2100  1.93e-03  7.413e+06  62.930
VIII_1150        VIII       1150.2449  2.48e-02  1.096e+09  49.947
CuI_1151         CuI        1151.3841  4.55e-03  1.318e+07  62.930
CuI_1151.4       CuI        1151.3841  3.99e-03  2.188e+07  62.930
CuI_1151.38      CuI        1151.3841  2.90e-04  2.692e+06  62.930
CuI_1152         CuI        1152.2301  3.50e-02  9.120e+07  62.930
CuI_1152.2       CuI        1152.2301  6.62e-03  3.548e+07  62.930
CuI_1152.23      CuI        1152.2301  7.00e-04  2.630e+06  62.930
PII_1152         PII        1152.8180  3.08e-01  1.549e+09  30.974
VIII_1153        VIII       1153.1786  1.09e-01  1.072e+09  49.947
CI_1155          CI         1155.8090  4.93e-03  6.761e+07  12.011
SI_1156          SI         1156.0265  4.97e-02  3.388e+08  32.067
CI_1156          CI         1156.1800  8.09e-04  6.761e+07  12.011
SI_1156.3        SI         1156.2756  1.69e-02  3.162e+08  32.067
CI_1157          CI         1157.1857  8.73e-04  5.012e+07  12.011
CI_1157.9        CI         1157.9097  2.12e-02  1.023e+08  12.011
